description,budget,average_cast_pop,genre,director,success_label
"Wiley and Sandra have been happily married for years and are now in the process of breaking up. Sam, his childhood friend, is just beginning to fall in love with a new teacher at the high school. As they try to adjust to these conflicting emotions they find themselves having to evaluate their own relationship as well. ",0,0.0,Comedy,Robert Greenwald,flop
"A group of American teens comes Ireland to visit an Irish school friend who takes them on a camping trip in search of the local, fabled magic mushrooms. When the hallucinations start taking hold, the panicked friends are attacked by ghostly creatures; never able to determine if they are experiencing gruesome reality or startling delirium. [{'id': 333, 'name': 'mushroom'}, {'id': 5774, 'name': 'forest'}, {'id': 9826, 'name': 'murder'}, {'id': 14964, 'name': 'drug'}, {'id': 14985, 'name': 'ireland'}]",0,0.0,Horror,Paddy Breathnach,flop
"A self-conscious bride is tormented by the memory of her husband's dead first wife. [{'id': 660, 'name': 'monte carlo'}, {'id': 818, 'name': 'based on novel'}, {'id': 965, 'name': 'age difference'}, {'id': 1328, 'name': 'secret'}, {'id': 1523, 'name': 'obsession'}, {'id': 3582, 'name': 'bride'}, {'id': 8079, 'name': 'cornwall'}, {'id': 9673, 'name': 'love'}, {'id': 9937, 'name': 'suspense'}, {'id': 11004, 'name': 'rural setting'}, {'id': 14769, 'name': 'devotion'}, {'id': 17997, 'name': 'housekeeper'}, {'id': 34079, 'name': 'death'}, {'id': 155881, 'name': 'estate'}, {'id': 188990, 'name': 'costume party'}, {'id': 195402, 'name': 'film noir'}, {'id': 228602, 'name': 'second wife'}]",1288000,0.0,Drama,Alfred Hitchcock,flop
"In a film based on actual events, teenagers Nathan Leopold Jr. (Craig Chester) and Richard Loeb (Daniel Schlachet) share a dangerous sexual bond and an amoral outlook on life. They spend afternoons breaking into storefronts and engaging in petty crimes, until the calculating Nathan ups the ante by kidnapping, and murdering, a young boy. When the body is found, all evidence leads to Nathan and Richard, whose strange relationship makes the case one of the most talked-about trials of the 1920s. ",250000,0.0,Drama,Tom Kalin,flop
"The continuing adventures of the Portokalos family. A follow-up to the 2002 comedy, ""My Big Fat Greek Wedding."" [{'id': 10267, 'name': 'comedy'}, {'id': 13027, 'name': 'wedding'}]",18000000,0.0,Romance,Kirk Jones,above average
"A gunslinger is embroiled in a war with a local drug runner. [{'id': 75, 'name': 'gunslinger'}, {'id': 139, 'name': 'anti terror'}, {'id': 502, 'name': 'ambush'}, {'id': 534, 'name': 'mexico'}, {'id': 797, 'name': 'showdown'}, {'id': 953, 'name': 'guitar'}, {'id': 2483, 'name': 'nudity'}, {'id': 2708, 'name': 'hitman'}, {'id': 3458, 'name': 'bartender'}, {'id': 9748, 'name': 'revenge'}, {'id': 10044, 'name': 'tragic hero'}, {'id': 10950, 'name': 'shootout'}, {'id': 14575, 'name': 'mariachi'}, {'id': 14601, 'name': 'explosion'}, {'id': 14687, 'name': 'extreme violence'}, {'id': 14707, 'name': 'brutality'}, {'id': 18026, 'name': 'drug lord'}, {'id': 41372, 'name': 'leg brace'}, {'id': 154889, 'name': 'concealed weapon'}, {'id': 187844, 'name': 'flashback'}, {'id': 226790, 'name': 'bookstore'}]",7000000,0.0,Thriller,Robert Rodriguez,average
"At the end of WW II the Dutch resistance kills a German officer in front of the house of a Dutch family. Years after the war the young boy who witnessed the killing runs into the members of the resistance who committed the killing. [{'id': 434, 'name': 'destruction of a civilization'}, {'id': 1956, 'name': 'world war ii'}, {'id': 4337, 'name': 'famine'}, {'id': 4518, 'name': 'postwar period'}, {'id': 11064, 'name': 'nazi germany'}, {'id': 15272, 'name': 'gestapo'}]",0,0.0,History,Fons Rademakers,flop
"Bachelor football star Joe Kingman seems to have it all. He is wealthy and carefree, and his team is on the way to capturing a championship. Suddenly, he is tackled by some unexpected news: He has a young daughter, the result of a last fling with his ex-wife. Joe must learn to balance his personal and professional lives with the needs of his child. [{'id': 579, 'name': 'american football'}, {'id': 1338, 'name': 'bachelor'}, {'id': 1483, 'name': 'sports team'}, {'id': 6075, 'name': 'sport'}, {'id': 163405, 'name': 'aerobics'}, {'id': 208185, 'name': 'tween girl'}, {'id': 228676, 'name': 'publicist'}]",22000000,0.0,Comedy,Andy Fickman,hit
"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality. [{'id': 818, 'name': 'based on novel'}, {'id': 1432, 'name': 'nasa'}, {'id': 1508, 'name': 'new mexico'}, {'id': 1603, 'name': 'extraterrestrial technology'}, {'id': 2846, 'name': 'prime number'}, {'id': 3412, 'name': 'star'}, {'id': 3416, 'name': 'radio wave'}, {'id': 3417, 'name': 'wormhole'}, {'id': 3419, 'name': 'fanatic'}, {'id': 10706, 'name': 'spirituality'}, {'id': 11001, 'name': 'religion'}, {'id': 14760, 'name': 'scientist'}, {'id': 15246, 'name': 'sabotage'}, {'id': 159961, 'name': 'ham radio'}, {'id': 160515, 'name': 'alien contact'}, {'id': 162356, 'name': 'mechanical engineering'}, {'id': 162357, 'name': 'observatory'}, {'id': 226028, 'name': 'eccentric man'}, {'id': 226240, 'name': 'radio telescope'}]",90000000,0.0,Drama,Robert Zemeckis,hit
"The story of the Buckman family and friends, attempting to bring up their children. They suffer/enjoy all the events that occur: estranged relatives, the ""black sheep"" of the family, the eccentrics, the skeletons in the closet, and the rebellious teenagers. [{'id': 970, 'name': 'parent child relationship'}, {'id': 161155, 'name': 'kids'}]",0,0.0,Comedy,Ron Howard,hit
"A crew of Martians overhears a radio broadcast of Orson Welles' ""War of the Worlds"" coming from Earth, and, thinking the Martian fleet is attacking Earth, they land their broken-down ship in a backwater mid-American town. As luck would have it, they land on Halloween and get mistaken for trick-or-treaters. Comedy ensues as the Martians try to get taken seriously. [{'id': 9951, 'name': 'alien'}, {'id': 10539, 'name': 'martian'}, {'id': 12541, 'name': 'misunderstanding'}, {'id': 177349, 'name': 'greedy developer'}]",3000000,0.0,Comedy,Patrick Read Johnson,below average
"When a Supreme Court judge commits suicide and his secretary is found murdered, all fingers point to Carl Anderson (Liam Neeson), a homeless veteran who's deaf and mute. But when public defender Kathleen Riley (Cher) is assigned to his case, she begins to believe that Anderson may actually be innocent. Juror Eddie Sanger (Dennis Quaid), a Washington lobbyist, agrees, and together the pair begins their own investigation of events. [{'id': 1417, 'name': 'jurors'}, {'id': 6086, 'name': 'government'}, {'id': 6145, 'name': 'right and justice'}, {'id': 10909, 'name': 'lawyer'}, {'id': 33519, 'name': 'courtroom'}]",0,0.0,Crime,Peter Yates,below average
"Now the world champion, Rocky Balboa is living in luxury and only fighting opponents who pose no threat to him in the ring. His lifestyle of wealth and idleness is shaken when a powerful young fighter known as Clubber Lang challenges him to a bout. After taking a pounding from Lang, the humbled champ turns to former bitter rival Apollo Creed to help him regain his form for a rematch with Lang. [{'id': 396, 'name': 'transporter'}, {'id': 1482, 'name': 'trainer'}, {'id': 2792, 'name': 'boxer'}, {'id': 3737, 'name': 'dying and death'}, {'id': 4487, 'name': 'boxing match'}, {'id': 4610, 'name': 'comeback'}, {'id': 4613, 'name': 'training'}, {'id': 5378, 'name': 'world champion'}, {'id': 5379, 'name': 'challenger'}, {'id': 5394, 'name': 'rematch'}, {'id': 6066, 'name': 'defeat'}, {'id': 6067, 'name': 'victory'}, {'id': 6075, 'name': 'sport'}, {'id': 9748, 'name': 'revenge'}, {'id': 10232, 'name': 'fame'}, {'id': 10329, 'name': 'wealth'}]",17000000,0.0,Drama,Sylvester Stallone,hit
"A modern retelling of Snow White set against students in their freshman year of college in the greek system. [{'id': 3616, 'name': 'college'}, {'id': 9840, 'name': 'romance'}, {'id': 10058, 'name': 'sorority'}, {'id': 12105, 'name': 'student'}, {'id': 169341, 'name': 'snow white'}, {'id': 206298, 'name': 'young adult'}, {'id': 221039, 'name': 'modern fairy tale'}]",16500000,0.0,Comedy,Joe Nussbaum,below average
"Lil and Roz are two lifelong friends, having grown up together as neighbors in an idyllic beach town. As adults, their sons have developed a friendship as strong as that which binds their mothers. One summer, all four are confronted by simmering emotions that have been mounting between them, and each find unexpected happiness in relationships that cross the bounds of convention. [{'id': 4663, 'name': 'lovers'}, {'id': 187056, 'name': 'woman director'}]",16000000,0.0,Drama,Anne Fontaine,flop
"Mr. Miyagi and Daniel take a trip to Okinawa to visit Mr. Miyagi's dying father. After arriving Mr. Miyagi finds he still has feelings for an old love. This stirs up trouble with an old rival who he originally left Okinawa to avoid. In the mean time, Daniel encounters a new love and also makes some enemies. [{'id': 779, 'name': 'martial arts'}, {'id': 3436, 'name': 'karate'}, {'id': 8676, 'name': 'okinawa'}, {'id': 8677, 'name': 'revanche'}, {'id': 155023, 'name': 'self esteem'}]",113,0.0,Adventure,John G. Avildsen,hit
"The story of Lehi and his wife Sariah and their four sons: Laman, Lemuel, Sam, and Nephi. Lehi leaves Jerusalem because he prophesied unto the people concerning the destruction of Jerusalem, and they sought his life. He journeys into the wilderness with his family. He sends Nephi and his brethren back to Jerusalem after the brass plates and the family of Ishmael. The sons and daughters of Lehi marry the sons and daughters of Ishmael. They take their families and continue into the wilderness. Ishmael dies in the wilderness. They come to the sea. Nephi's brethren rebel against him. He confounds them, and builds a ship. They cross the sea to the promised land in the Americas. Lehi dies in the promised land. Nephi's brethren rebel against him again. Nephi departs again into the wilderness. ",2000000,0.0,Unknown,Unknown,flop
"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time. [{'id': 3508, 'name': 'underwear'}, {'id': 4809, 'name': 'tiger'}, {'id': 8070, 'name': 'stag night'}, {'id': 11461, 'name': 'hangover'}, {'id': 11462, 'name': 'lost weekend'}, {'id': 11464, 'name': 'bag over head'}, {'id': 11465, 'name': 'chapel'}, {'id': 11467, 'name': 'hit with tire iron'}, {'id': 11469, 'name': 'memory loss'}, {'id': 14570, 'name': 'las vegas'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 188960, 'name': 'elevator'}]",35000000,0.0,Comedy,Todd Phillips,hit
"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband. [{'id': 2320, 'name': 'violent husband'}, {'id': 9937, 'name': 'suspense'}, {'id': 155750, 'name': 'fakes death'}]",19000000,0.0,Drama,Joseph Ruben,hit
"A mismatched team of British Special Services agents led by an American must infiltrate, in disguise, a female-run Enigma factory in Berlin and bring back the decoding device that will end the war. [{'id': 108, 'name': 'transvestism'}, {'id': 1956, 'name': 'world war ii'}]",15000000,0.0,Action,Stefan Ruzowitzky,flop
"Belka, the amazing flying dog is unexpectedly hurdled into the streets of Moscow when the rocket she is in malfunctions during one of her circus routines. Fortunately the crash leads her to meet a streetwise dog named Strelka and her irredeemable rat friend Venya. Together with other amusing friends found along the way, the three find themselves in a space program-training center where they get sent away in a rocket, leaving planet Earth... [{'id': 2139, 'name': 'russia'}, {'id': 4040, 'name': 'space mission'}, {'id': 9882, 'name': 'space'}, {'id': 12405, 'name': 'outer space'}, {'id': 15162, 'name': 'dog'}]",25000000,0.0,Family,Inna Evlannikova,flop
A young girl is hunted by her nightmares ,0,0.0,Horror,Ramón Obón,flop
"Dr. Richard Sturgess leads a team of compassionate doctors at a veteran's hospital. Along with Drs. Morgan, Handleman and Van Dorn, he fights to deliver adequate care to needy veterans in the face of funding cuts and a corrupt administration. To succeed, the staff may have to bend the rules and circumvent the villainous ""Article 99,"" a bureaucratic loophole that prevents veterans from receiving the benefits they deserve. [{'id': 2884, 'name': 'asylum'}, {'id': 7094, 'name': 'pflegen'}, {'id': 11612, 'name': 'hospital'}]",18000000,0.0,Comedy,Howard Deutch,flop
"An aging widow from New York City follows her daughter to Los Angeles in hopes of starting a new life after her husband passes away. [{'id': 9840, 'name': 'romance'}, {'id': 12670, 'name': 'los angeles'}, {'id': 176227, 'name': 'motherhood'}, {'id': 187056, 'name': 'woman director'}]",3200000,0.0,Comedy,Lorene Scafaria,flop
"A group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the South Carolinian wilderness to retrieve her. [{'id': 3149, 'name': 'gangster boss'}, {'id': 4183, 'name': 'wife'}, {'id': 6091, 'name': 'war'}, {'id': 6223, 'name': 'change'}, {'id': 15087, 'name': 'iraq war'}]",20000000,0.0,Action,John Bonito,below average
"A businessman is reunited with the four lost souls who were his guardian angels during childhood, all with a particular purpose to joining the afterlife. [{'id': 6155, 'name': 'afterlife'}]",0,0.0,Fantasy,Ron Underwood,below average
"A spirited cast kicks up its heels in a lively musical spoof of cowboy films crammed with spur-jangling tunes by Jay Livingstone and Ray Evans and decked out with colorfully stylized, Oscar.-nominated sets. Rosemary Clooney heads up the high-kicking, red-gartered girls of the Red Dog Saloon. They can-can. but she won't-won't unless Jason (Jack Carson) asks her to get hitched. Guy Mitchell and Gene Barry are gun-totin' polecats who think they've got a feud to settle. And Frank Faylen and Buddy Ebsen are among the folks who hope the gunslingers get itchy fingered - so they can hold a town barbecue during the funeral! [{'id': 4344, 'name': 'musical'}]",0,0.0,Western,George Marshall,flop
"Based in Delhi's Chandni Chowk, orphaned Sidhu is adopted by the owner of Bajrang Bali Parathas, known simply as Dada. Years later Sidhu has grown up and is an expert at slicing vegetables. [{'id': 4344, 'name': 'musical'}, {'id': 10540, 'name': 'bollywood'}]",10500000,0.0,Action,Nikhil Advani,flop
"A single mother, with dreams of becoming a writer, has a son at the age of 15 in 1965, and goes through a failed marriage with the drug-addicted father. [{'id': 1009, 'name': 'baby'}, {'id': 1412, 'name': 'becoming an adult'}, {'id': 1525, 'name': 'puberty'}, {'id': 1566, 'name': 'dream'}, {'id': 1803, 'name': 'drug addiction'}, {'id': 4183, 'name': 'wife'}, {'id': 8650, 'name': 'unwillingly pregnant'}, {'id': 13028, 'name': 'writer'}, {'id': 14751, 'name': 'youth'}, {'id': 166113, 'name': 'marriage problems'}, {'id': 187056, 'name': 'woman director'}]",48000000,0.0,Comedy,Penny Marshall,average
"""Stonewall"" is a drama about a young man in New York caught up during the 1969 Stonewall Riots, a pivotal event widely considered the starting point for the modern gay civil rights movement. [{'id': 173510, 'name': 'stonewall riot'}]",13500000,0.0,Drama,Roland Emmerich,flop
"Missy McCloud is the most beautiful girl in school and Johnny Dingle has been in love with her for years. One night, Johnny is killed trying to win her over, and soon he comes back from the dead, and wins Missy's heart. [{'id': 12377, 'name': 'zombie'}, {'id': 166511, 'name': 'hen'}, {'id': 166512, 'name': 'graveyard'}, {'id': 166513, 'name': 'strapped down'}]",0,0.0,Comedy,Bob Balaban,flop
"Mary Surratt is the lone female charged as a co-conspirator in the assassination trial of Abraham Lincoln. As the whole nation turns against her, she is forced to rely on her reluctant lawyer to uncover the truth and save her life. [{'id': 8570, 'name': 'president'}, {'id': 9682, 'name': 'history'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 10909, 'name': 'lawyer'}, {'id': 11038, 'name': 'trial'}, {'id': 12390, 'name': 'boarding house'}, {'id': 14519, 'name': 'military tribunal'}, {'id': 15126, 'name': 'historical'}, {'id': 15137, 'name': 'union'}, {'id': 15138, 'name': 'private club'}]",25000000,0.0,Crime,Robert Redford,below average
"Based on the novel by the same name from Nicholas Evans, the talented Robert Redford presents this meditative family drama set in the country side. Redford not only directs but also stars in the roll of a cowboy with a magical talent for healing. [{'id': 128, 'name': 'love triangle'}, {'id': 242, 'name': 'new york'}, {'id': 680, 'name': 'montana'}, {'id': 1534, 'name': 'attachment to nature'}, {'id': 2246, 'name': 'confidence'}, {'id': 2284, 'name': 'horseback riding'}, {'id': 2673, 'name': 'horse'}, {'id': 2749, 'name': 'riding accident'}, {'id': 2751, 'name': 'career woman'}, {'id': 2752, 'name': 'ranch'}, {'id': 2753, 'name': 'horse whisperer'}, {'id': 2754, 'name': 'trauma'}, {'id': 2755, 'name': 'country life'}, {'id': 5809, 'name': 'marriage crisis'}, {'id': 6711, 'name': 'crisis'}, {'id': 9935, 'name': 'travel'}, {'id': 10707, 'name': 'mother daughter relationship'}, {'id': 18165, 'name': 'animal'}, {'id': 18330, 'name': 'nature'}]",60000000,0.0,Drama,Robert Redford,hit
"Dobrinya Nikitich goes on a quest to save the royal niece and finds out whether his old friend Zmey Gorinich is loyal to him. During the adventures, he is accompanied by the royal messenger who's in love with the royal niece. [{'id': 1605, 'name': 'new love'}, {'id': 4414, 'name': 'adventure'}, {'id': 6187, 'name': 'fairy-tale figure'}, {'id': 12554, 'name': 'dragon'}]",4500000,0.0,Adventure,Ilya Maksimov,flop
"Three groups of people are trying to survive Purge Night, when their stories intertwine and are left stranded in The Purge trying to survive the chaos and violence that occurs. [{'id': 992, 'name': 'bus'}, {'id': 1376, 'name': 'assault rifle'}, {'id': 1589, 'name': 'sniper'}, {'id': 3544, 'name': 'machete'}, {'id': 4565, 'name': 'dystopia'}, {'id': 6259, 'name': 'psychopath'}, {'id': 9663, 'name': 'sequel'}, {'id': 9748, 'name': 'revenge'}, {'id': 9826, 'name': 'murder'}, {'id': 10349, 'name': 'survival'}, {'id': 14735, 'name': 'motorcycle'}, {'id': 14819, 'name': 'violence'}, {'id': 15068, 'name': 'one day'}, {'id': 15069, 'name': 'masked man'}, {'id': 33632, 'name': 'apartment'}, {'id': 34079, 'name': 'death'}, {'id': 50009, 'name': 'survival horror'}, {'id': 187028, 'name': 'gatling gun'}]",9000000,0.0,Horror,James DeMonaco,hit
"Three intercut stories about outsiders, sex and violence. In ""Hero,"" Richie, at age 7, kills his father and flies away. After the event, a documentary in cheesy lurid colors asks what Richie was like and what led up to the shooting. In the black and white ""Horror,"" a scientist isolates the elixir of human sexuality, drinks it, and becomes a festering, contagious murderer; a female colleague who loves him tries to help, to her peril. In ""Homo,"" a prisoner in Fontenal prison is drawn to an inmate whom he knew some years before, at Baton juvenile institute, and whose humiliations he witnessed. This story is told in dim light, except for the bright flashbacks. [{'id': 378, 'name': 'prison'}, {'id': 738, 'name': 'sexuality'}, {'id': 8029, 'name': 'drama'}, {'id': 8087, 'name': 'horror'}, {'id': 9673, 'name': 'love'}, {'id': 10183, 'name': 'independent film'}, {'id': 10568, 'name': 'science fiction'}, {'id': 10886, 'name': 'punishment'}, {'id': 11221, 'name': 'blood'}, {'id': 14760, 'name': 'scientist'}]",250000,0.0,Drama,Todd Haynes,flop
"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York. In the mid-1970's, a homely, friendless Australian girl of 8 picks a name out of a Manhattan phone book and writes to him; she includes a chocolate bar. He writes back, with chocolate. Thus begins a 20-year correspondence. Will the two ever meet face to face? [{'id': 715, 'name': 'chocolate'}, {'id': 4132, 'name': 'birthmark'}, {'id': 4555, 'name': 'only child'}, {'id': 5310, 'name': 'approach'}, {'id': 5657, 'name': 'australia'}, {'id': 7508, 'name': 'friendship bracelet'}, {'id': 10121, 'name': 'stop motion'}, {'id': 10226, 'name': 'neighbor'}, {'id': 160741, 'name': 'phone book'}, {'id': 169620, 'name': 'correspondence'}, {'id': 169965, 'name': 'pen pal'}]",590235,0.0,Animation,Adam Elliot,flop
"Three stories told simultaneous in ninety minutes of real time: a Republican Senator who's a presidential hopeful gives an hour-long interview to a skeptical television reporter, detailing a strategy for victory in Afghanistan; two special forces ambushed on an Afghani ridge await rescue as Taliban forces close in; a poli-sci professor at a California college invites a student to re-engage. [{'id': 736, 'name': 'journalist'}, {'id': 949, 'name': 'terrorist'}, {'id': 1242, 'name': 'war against terror'}, {'id': 2586, 'name': 'externally controlled action'}, {'id': 2887, 'name': 'manipulation'}, {'id': 2903, 'name': 'propaganda'}, {'id': 2954, 'name': 'manipulation of the media'}, {'id': 2964, 'name': 'future'}, {'id': 3541, 'name': 'afghanistan'}, {'id': 4101, 'name': 'political negotiations'}, {'id': 6091, 'name': 'war'}, {'id': 6162, 'name': 'past'}, {'id': 7158, 'name': 'war in afghanistan'}]",35000000,0.0,Action,Robert Redford,above average
"A thriller that follows two siblings who decide to fend for themselves in the wake of a botched casino heist, and their unlikely reunion during another family's Thanksgiving celebration. [{'id': 9104, 'name': 'partner'}, {'id': 9826, 'name': 'murder'}, {'id': 10562, 'name': 'on the run'}, {'id': 10718, 'name': 'fugitive'}, {'id': 14536, 'name': 'crime'}, {'id': 18035, 'name': 'family'}, {'id': 156064, 'name': 'homecoming'}, {'id': 159707, 'name': 'crime gone awry'}, {'id': 193305, 'name': 'dishonesty'}, {'id': 193546, 'name': 'siblings relations'}, {'id': 206687, 'name': 'chases and races'}, {'id': 206701, 'name': 'criminal heroes'}, {'id': 206718, 'name': 'cons and scams'}, {'id': 207112, 'name': 'murderous pair'}]",12000000,0.0,Crime,Stefan Ruzowitzky,flop
"Seven friends - Alec, Billy, Jules, Kevin, Kirby, Leslie and Wendy - are trying to navigate through life and their friendships following college graduation. Alec, who aspires to political life, has just shown his true colors by changing his allegiance from Democrat to Republican, which freaks out girlfriend Leslie, who he wants to marry. Budding architect Leslie, on the other hand, has an independent streak. She believes she has to make a name for herself to find out who she is before she can truly commit to another person in marriage. But Leslie and Alec have decided to live together. Because Leslie refuses to marry Alec, he believes that justifies certain behavior. Kirby, who wants to become a lawyer and who pays for his schooling by working as a waiter at their local hangout called St. Elmo's Bar, and struggling writer Kevin are currently roommates. They are on opposite extremes of the romance spectrum. [{'id': 6054, 'name': 'friendship'}, {'id': 171612, 'name': 'secret admirer'}, {'id': 171626, 'name': 'post college'}]",0,0.0,Drama,Joel Schumacher,average
"A detective becomes obsessed with solving a child's 50-year-old murder, uncovering striking similarities between the case and his son's disappearance. [{'id': 1452, 'name': 'loss of child'}, {'id': 10655, 'name': 'grieving widower'}]",2000000,0.0,Crime,Anders Anderson,flop
"Sgt. James Dunn, who is wrongly accused of assassination of the officer he had a row with, is saved from death row and recruited for top-secret special operations squad led by Lt. Col Grant Casey. Their mission is to neutralize criminals who had avoided conventional law enforcement methods. On his first Mission, James is made the fall guy for the assassination of the first lady and everyone is loo ",25000000,0.0,Action,David Hogan,below average
"20 years after three teenagers disappeared in the wake of mysterious lights appearing above Phoenix, Arizona, unseen footage from that night has been discovered, chronicling the final hours of their fateful expedition. [{'id': 163053, 'name': 'found footage'}]",2800000,0.0,Horror,Justin Barber,flop
"An infamous terrorist has evaded capture for a long time by being extremely clever and ruthless. Things get interesting when he hijacks a plane carrying famous security expert John Cutter, who isn't about to stand this sort of thing. [{'id': 822, 'name': 'airport'}, {'id': 1196, 'name': 'florida'}, {'id': 1812, 'name': 'fbi'}, {'id': 4245, 'name': 'hijacking'}, {'id': 8440, 'name': 'ex-cop'}, {'id': 12670, 'name': 'los angeles'}, {'id': 18525, 'name': 'fbi agent'}]",15000000,0.0,Action,Kevin Hooks,average
An unflinching look at the how the battle over abortion rights has played out in the United States over the last 15 years ,0,0.0,Documentary,Tony Kaye,flop
"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool. [{'id': 272, 'name': 'transylvania'}, {'id': 612, 'name': 'hotel'}, {'id': 616, 'name': 'witch'}, {'id': 1576, 'name': 'technology'}, {'id': 2343, 'name': 'magic'}, {'id': 2904, 'name': 'mummy'}, {'id': 3633, 'name': 'dracula'}, {'id': 4062, 'name': 'skeleton'}, {'id': 4555, 'name': 'only child'}, {'id': 5891, 'name': 'backpacker'}, {'id': 6038, 'name': 'marriage'}, {'id': 6737, 'name': 'frankenstein'}, {'id': 11155, 'name': 'wolfman'}, {'id': 12377, 'name': 'zombie'}, {'id': 14633, 'name': 'moving out'}, {'id': 160130, 'name': 'invisible man'}, {'id': 224472, 'name': 'new life'}]",80000000,0.0,Animation,Genndy Tartakovsky,hit
"Betrayed by an informant, Philippe Gerbier (Lino Ventura) finds himself trapped in a torturous Nazi prison camp. Though Gerbier escapes to rejoin the Resistance in occupied Marseilles, France, and exacts his revenge on the informant, he must continue a quiet, seemingly endless battle against the Nazis in an atmosphere of tension, paranoia and distrust. [{'id': 90, 'name': 'paris'}, {'id': 1631, 'name': 'concentration camp'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2349, 'name': 'german'}, {'id': 2624, 'name': 'czech'}, {'id': 2652, 'name': 'nazis'}, {'id': 9904, 'name': 'french resistance'}, {'id': 9905, 'name': 'german occupation'}]",0,0.0,War,Jean-Pierre Melville,flop
"Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse, he's also dumped by his girlfriend. On the verge of ending it all, Drew gets a new lease on life when he returns to his family's small Kentucky hometown after his father dies. Along the way, he meets a flight attendant with whom he falls in love. [{'id': 236, 'name': 'suicide'}, {'id': 922, 'name': 'hotel room'}, {'id': 1252, 'name': 'suicide attempt'}, {'id': 1605, 'name': 'new love'}, {'id': 3739, 'name': 'funeral'}, {'id': 3800, 'name': 'airplane'}, {'id': 4663, 'name': 'lovers'}, {'id': 13072, 'name': 'falling in love'}]",57000000,0.0,Comedy,Cameron Crowe,above average
"In the shadowy world of drone warfare, combat unfolds like a video game–only with real lives at stake. After six tours of duty, Air Force pilot Tom Egan (Ethan Hawke) now fights the Taliban from an air-conditioned bunker in the Nevada desert. But as he yearns to get back in the cockpit of a real plane and becomes increasingly troubled by the collateral damage he causes each time he pushes a button, Egan’s nerves—and his relationship with his wife (Mad Men's January Jones)—begin to unravel. [{'id': 3203, 'name': 'pilot'}, {'id': 3301, 'name': 'suspicion'}, {'id': 11930, 'name': 'drone'}, {'id': 185454, 'name': 'u.s. military'}, {'id': 212912, 'name': 'air force base'}, {'id': 226645, 'name': 'combat drone'}]",0,0.0,Action,Andrew Niccol,flop
"Strike is a young city drug pusher under the tutelage of drug-lord Rodney Little.When a night man at a fast-food restaurant is found with four bullets in his body, Strike's older brother turns himself in as the killer. Det. Rocco Klein doesn't buy the story, however, and sets out to find the truth, and it seems that all the fingers point toward Strike &amp; Rodney. [{'id': 11505, 'name': 'drug pusher'}, {'id': 13008, 'name': 'train'}, {'id': 14964, 'name': 'drug'}, {'id': 18026, 'name': 'drug lord'}]",25000000,0.0,Mystery,Spike Lee,below average
"Lawman Wyatt Earp and outlaw Doc Holliday form an unlikely alliance which culminates in their participation in the legendary Gunfight at the O.K. Corral. [{'id': 5074, 'name': 'wyatt earp'}, {'id': 6165, 'name': 'historical figure'}, {'id': 9550, 'name': 'doc holliday'}, {'id': 222782, 'name': 'two guns belt'}]",0,0.0,Western,John Sturges,below average
"Afghanistan. War correspondent Elsa Casanova is taken hostage by the Taliban. Faced with her imminent execution, a Special Forces unit is dispatched to free her. In some of the world’s most breathtaking yet hostile landscapes, a relentless pursuit begins between her kidnappers who have no intention of letting their prey escape them and a group of soldiers who risk their lives in pursuit of their single aim – to bring her home alive. This strong, independent woman and these men of duty are thrown together and forced to confront situations of great danger that inextricably bind them – emotionally, violently and intimately. [{'id': 736, 'name': 'journalist'}, {'id': 1930, 'name': 'kidnapping'}, {'id': 3541, 'name': 'afghanistan'}, {'id': 4653, 'name': 'french'}, {'id': 7021, 'name': 'pakistan'}, {'id': 7955, 'name': 'taliban'}, {'id': 10084, 'name': 'rescue'}, {'id': 191831, 'name': 'war zone'}]",10000000,0.0,Action,Stéphane Rybojad,flop
