id,budget,imdb_id,original_language,original_title,overview,popularity,release_date,runtime,status,tagline,title,revenue,genres_extracted,keywords_extracted,top_cast,directors,production_companies_extracted,production_countries_extracted,spoken_languages_extracted,collection_name
886,16000000.0,tt0078163,en,Revenge of the Pink Panther,"Chief Inspector Jacques Clouseau is dead. At least that is what the world (and Charles Dreyfus) believe when a dead body is discovered in Clouseau's car after being shot off the road. Naturally, Clouseau knows differently, and taking advantage of not being alive, sets out to discover why an attempt was made on his life.",6.970037,1978-07-19,104.0,Released,Just when you thought it was safe to go back to the movies...,Revenge of the Pink Panther,49579269,"Action, Comedy, Crime, Thriller",inspector,"Peter Sellers, Andrew Sachs, Herbert Lom",Blake Edwards,"United Artists, Jewel Productions, Pimlico Films, Sellers-Edwards productions","United Kingdom, United States of America","English, Français",The Pink Panther (Original) Collection
887,16000000.0,tt2395459,en,Sinapupunan,A Bajau midwife copes with the irony of her own infertility amid the deprivations of her gypsy community in Tawi-Tawi. A saga of island life stuck between the devil of passion and the deep blue sea of tradition.,0.223633,2012-12-24,100.0,Released,,Thy Womb,306,"Drama, Foreign",,"Nora Aunor, Lovi Poe, Bembol Roco",Brillante Mendoza,"Centerstage Productions, Film Development Council of the Philippines",Philippines,,
888,20000000.0,tt1013753,en,Milk,"The story of California's first openly gay elected official, Harvey Milk, who  became an outspoken agent for change, seeking equal rights and opportunities for all. His great love for the city and its people brought him backing from young and old, straight and gay, alike ‚Äì at a time when prejudice and violence against gays was openly accepted as the norm.",10.680121,2008-11-26,128.0,Released,Never Blend In.,Milk,54586584,"History, Drama","gay, san francisco, homophobia, mayor, biography, politics, politician, election campaign, homosexuality, morality, election, candlelight vigil, mayoral campaign","Sean Penn, Emile Hirsch, James Franco",Gus Van Sant,Focus Features,United States of America,English,
889,5000000.0,tt0259446,en,My Big Fat Greek Wedding,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,6.719949,2002-02-22,95.0,Released,Love is here to stay... so is her family.,My Big Fat Greek Wedding,368744044,"Comedy, Drama, Romance","usa, parent child relationship, greece, culture clash, midlife crisis, restaurant, bad mother-in-law, mother-in-law, parents-in-law, son-in-law, father-in-law, patriarch, bad father-in-law, greek, wedding, family, xenophobia","Nia Vardalos, John Corbett, Lainie Kazan",Joel Zwick,"Home Box Office (HBO), Playtone, Gold Circle Films, Ontario Film Development Corporation, MPH Entertainment Productions","Canada, United States of America","ελληνικά, English",My Big Fat Greek Wedding Collection
890,16000000.0,tt0251806,en,Long Time Dead,"A group of British students embark on summoning spirits on a Ouija board after a night of clubbing. But someone breaks the link before they have finished and now a demon is trapped in their world and the only way to banish it, is for all the people who summoned it to die.",1.818561,2002-01-18,94.0,Released,Play It To Death,Long Time Dead,13102295,"Horror, Thriller","horror, ouija, spirit, game","Joe Absolom, Lara Belmont, Melanie Gutteridge",Marcus Adams,"Film Council, StudioCanal, Midfield Films, Canal+, Working Title Films, WT2 Productions","France, United Kingdom",English,
891,16000000.0,tt0097166,en,Dead Bang,"Los Angeles homicide detective Jerry Beck searches for the murderer who killed a police officer on Christmas Eve. The investigation takes Beck inside the violent world of hate groups and white supremacists, who are hatching a deadly plot to attack even more innocent people. Beck must also confront his own personal demons, including his growing problem with alcohol, if he wants to track down and stop the violent neo-Nazis before it is too late.",1.698895,1989-03-24,105.0,Released,For one cop this isn't just a case. It's a war.,Dead Bang,8125592,"Action, Adventure, Drama, Thriller","neo-nazi, colorado, suspense, los angeles","Don Johnson, Penelope Ann Miller, William Forsythe",John Frankenheimer,"Lorimar Film Entertainment, Warner Bros.",United States of America,English,
892,37000000.0,tt0091225,en,Howard the Duck,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,10.722672,1986-08-01,110.0,Released,You will believe that a duck can talk.,Howard the Duck,37962774,"Comedy, Fantasy, Science Fiction","duck, physicist, extraterrestrial, anthropomorphism, alien invasion, alternative reality","Lea Thompson, Jeffrey Jones, Tim Robbins",Willard Huyck,"Lucasfilm, Universal Pictures",United States of America,"English, Português",
893,16000000.0,tt1753549,en,Buck,"An examination of the life of acclaimed 'horse whisperer' Buck Brannaman, who recovered from years of child abuse to become a well-known expert in the interactions between horses and people.",2.564695,2011-06-17,89.0,Released,There's no wisdom worth having that isn't hard won,Buck,386749,Documentary,"horseback riding, training, biography, duringcreditsstinger, woman director","Buck Brannaman, Robert Redford, Scarlett Johansson",Cindy Meehl,Back Allie Productions,United States of America,English,
894,25000000.0,tt0120620,en,Brokedown Palace,"Best friends Alice and Darlene take a trip to Thailand after graduating high school. In Thailand, they meet a captivating Australian man, who calls himself Nick Parks. Darlene is particularly smitten with Nick and convinces Alice to take Nick up on his offer to treat the two of them to what amounts to a day trip to Hong Kong. In the airport, the girls are seized by the police and shocked to discover that one of their bags contains heroin.",6.570918,1999-08-13,100.0,Released,"Their graduation present was a trip to paradise, but they never thought they would land in hell.",Brokedown Palace,13000000,"Drama, Thriller","holiday, prison, thailand, drug, injustice","Claire Danes, Kate Beckinsale, Bill Pullman",Jonathan Kaplan,"Twentieth Century Fox Film Corporation, Fox 2000 Pictures, Adam Fields Productions, Two Girls Productions",United States of America,"English, ภาษาไทย",
895,50000000.0,tt0260866,en,Don't Say a Word,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret..",6.824871,2001-09-28,113.0,Released,...I'll never tell.,Don't Say a Word,100020092,Thriller,"cemetery, diamant, suspense, psychiatrist, killer","Michael Douglas, Sean Bean, Brittany Murphy",Gary Fleder,"Village Roadshow Pictures, NPV Entertainment, Regency Enterprises, Kopelson Entertainment, Epsilon Motion Pictures, New Regency Pictures, Furthur Films","Australia, United States of America","English, Français, Italiano, Español",
896,16000000.0,tt0077629,en,Gray Lady Down,"The USS Neptune, a nuclear submarine, is sunk off the coast of Connecticut after a collision with a Norwegian cargo ship. The navy must attempt a potentially dangerous rescue in the hope of saving the lives of the crew.",3.507084,1978-03-10,111.0,Released,Trapped underwater... with time running out.,Gray Lady Down,5438927,"Thriller, Adventure, History, Drama","submarine, drowning, based on novel, rescue, disaster, underwater, disaster film, collision","Charlton Heston, David Carradine, Stacy Keach",David Greene,"Universal Pictures, The Mirisch Corporation",United States of America,"English, Magyar, Norsk",
897,12000000.0,tt0462590,en,Step Up,"Everyone deserves a chance to follow their dreams, but some people only get one shot. Tyler Gage is a rebel from the wrong side of Baltimore's tracks and the only thing that stands between him and an unfulfilled life are his dreams of one day making it out of there. Nora is a privileged ballet dancer attending Baltimore's ultra-elite Maryland School of the Arts",14.21769,2006-08-11,104.0,Released,Every Second Chance Begins With a First Step,Step Up,114194847,"Music, Drama, Romance, Crime","dancing, new love, dance, baltimore, art school, woman director","Channing Tatum, Jenna Dewan, Damaine Radcliff",Anne Fletcher,"Summit Entertainment, Offspring Entertainment, Touchstone Pictures, Eketahuna LLC",United States of America,English,Step Up Collection
898,20000000.0,tt0089457,en,Ladyhawke,"Captain Etienne Navarre is a man on whose shoulders lies a cruel curse. Punished for loving each other, Navarre must become a wolf by night whilst his lover, Lady Isabeau, takes the form of a hawk by day. Together, with the thief Philippe Gaston, they must try to overthrow the corrupt Bishop and in doing so break the spell.",8.157587,1985-03-27,121.0,Released,No force in Heaven will release them. No power on Earth can save them.,Ladyhawke,18432000,"Adventure, Drama, Fantasy, Romance","moon, monk, swordplay, bishop, cathedral, falcon, twilight, solar eclipse, thief","Matthew Broderick, Rutger Hauer, Michelle Pfeiffer",Richard Donner,"Twentieth Century Fox Film Corporation, Warner Bros.",United States of America,English,
899,16000000.0,tt0430779,en,Everyone's Hero,Everyone's Hero is the heartwarming story of a young boy's journey to help Babe Ruth and the New York Yankees win the World Series.,5.787334,2006-09-15,88.0,Released,"No matter where life takes you, always keep swinging.",Everyone's Hero,16627188,"Action, Adventure, Animation, Comedy, Drama, Family","baseball bat, sport, theft, new york yankees","William H. Macy, Rob Reiner, Brian Dennehy","Christopher Reeve, Colin Brady, Dan St. Pierre","Twentieth Century Fox Film Corporation, Starz Animation, IDT Entertainment","Canada, United States of America","Český, Dansk, English",
900,12000000.0,tt0479751,ta,சிவாஜி,Corrupt police and politicians target a computer engineer for trying to better the lives of less privileged citizens.,1.323587,2007-06-14,185.0,Released,,Sivaji: The Boss,19000000,"Action, Comedy, Drama","black money, corrupt politician, education system","Rajinikanth, Suman, Shriya Saran",S. Shankar,AVM Productions,India,"தமிழ், తెలుగు",
901,20000000.0,tt1366365,en,The Cold Light of Day,"A young American uncovers a conspiracy during his attempt to save his family, that was kidnapped while on vacation in Spain.",11.112153,2012-04-04,93.0,Released,Be careful who you trust.,The Cold Light of Day,16863583,"Action, Thriller","kidnapping, spying, government","Henry Cavill, Ver√≥nica Echegui, Sigourney Weaver",Mabrouk El Mechri,"Summit Entertainment, Intrepid Pictures, Film Rites, Galavis Film, Picture Machine, Fria Luz Del Dia, A.I.E.",United States of America,"English, Español",
902,16000000.0,tt2852470,fr,L'image manquante,"Rithy Panh uses clay figures, archival footage, and his narration to recreate the atrocities Cambodia's Khmer Rouge committed between 1975 and 1979.",1.568839,2014-03-19,95.0,Released,,The Missing Picture,52164,Documentary,"cambodia, genocide, clay, khmer rouge, claymation",Randal Douc,Rithy Panh,"Angoa-Agicoa, Procirep, MEDIA Programme of the European Union, Arte France, Région Ile-de-France, Catherine Dussart Productions (CDP), Centre National du Cinéma et de L'image Animée (CNC), Bophana Production","Cambodia, France",Français,
903,185000000.0,tt0367882,en,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets ‚Äì led by sword-wielding Irina Spalko ‚Äì are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend ‚Äì and Indy's colleague ‚Äì Professor Oxley has been captured for his knowledge of the skull's whereabouts.",12.577266,2008-05-21,122.0,Released,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,786636033,"Adventure, Action","saving the world, riddle, whip, treasure, mexico city, leather jacket, machinegun, alien phenomenons, maya civilization, peru, treasure hunt, nuclear explosion, refrigerator, archaeologist, indiana jones, archeology","Harrison Ford, Cate Blanchett, Shia LaBeouf",Steven Spielberg,"Lucasfilm, Paramount Pictures",United States of America,"English, Deutsch, Pусский",Indiana Jones Collection
904,16000000.0,tt0088224,en,Tank,"After relocating his family - and his prized restored Sherman tank - to a small Georgia town, Sargeant Major Zack Carey (James Garner) butts heads with the local sheriff. Zack doesn't agree with the ways of the local police, and when the sheriff goes after Zack's son (C. Thomas Howell), it's time for Zack to roll out the Sherman tank and wage a little war of his own.",1.833948,1984-03-16,113.0,Released,A tank a day keeps the law away.,Tank,14134877,"Action, Adventure, Comedy, Drama, Thriller","prostitute, showdown, tank, dirty cop, military","James Garner, Shirley Jones, C. Thomas Howell",Marvin J. Chomsky,Lorimar Film Entertainment,United States of America,English,
905,100000000.0,tt0369441,en,Fun with Dick and Jane,"After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge.",13.473381,2005-12-21,90.0,Released,Giving big businesses a run for their money!,Fun with Dick and Jane,202026112,Comedy,"based on novel, desperation, robber, hold-up robbery, remake, suburbia, loss of job, humiliation, unemployment, bankruptcy, travel agent, riches to rags, bearer bonds, comeuppance","Jim Carrey, Téa Leoni, Alec Baldwin",Dean Parisot,"Imagine Entertainment, Columbia Pictures Corporation, JC 23 Entertainment",United States of America,English,
906,16000000.0,tt0098635,en,When Harry Met Sally...,"During their travels from Chicago to New York, Harry and Sally Will debate whether or not sex ruins a perfect relationship between a man and a woman. Eleven years and later, they're still no closer to finding the answer.",8.34322,1989-07-21,96.0,Released,Can two friends sleep together and still love each other in the morning?,When Harry Met Sally...,92823546,"Comedy, Romance, Drama","new york, wife husband relationship, restaurant, platonic love, orgasm, friendship, male female relationship","Meg Ryan, Billy Crystal, Carrie Fisher",Rob Reiner,"Castle Rock Entertainment, Nelson Entertainment",United States of America,English,
907,250000000.0,tt1345836,en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",20.58258,2012-07-16,165.0,Released,The Legend Ends,The Dark Knight Rises,1084939099,"Action, Crime, Drama, Thriller","dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, criminal underworld, batman",,,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy",United States of America,English,The Dark Knight Collection
908,31000000.0,tt0089755,en,Out of Africa,"Out of Africa tells the story of the life of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on the autobiographical novel by Karen Blixen from 1937.",14.004074,1985-12-20,161.0,Released,Based on a true story.,Out of Africa,128499205,Drama,"skab under tv, bagved, √òverste hylde","Meryl Streep, Robert Redford, Klaus Maria Brandauer",Sydney Pollack,"Universal Pictures, Mirage Entertainment",United States of America,"English, Kiswahili",
909,9600000.0,tt3859076,en,Truth,A behind-the-scenes look at news anchor Dan Rather during his final days at C.B.S. News when he broadcast a damaging report about how President Bush relied on privilege and family connections to avoid fighting in the Vietnam War.,6.133745,2015-09-12,121.0,Released,,Truth,2541554,Drama,"document, biography, tv reporter, presidential elections, political scandal","Robert Redford, Cate Blanchett, Elisabeth Moss",James Vanderbilt,"Echo Lake Entertainment, RatPac Entertainment, Mythology Entertainment (II)","United States of America, Australia",English,
910,16000000.0,tt1713476,en,The Bay,"Two million fish washed ashore. One thousand blackbirds dropped from the sky. On July 4, 2009 a deadly menace swept through the quaint seaside town of Claridge, Maryland, but the harrowing story of what happened that Independence Day has never been told‚Äîuntil now. The authorities believed they had buried the truth about the tragedy that claimed over 700 human lives. Now, three years later, a reporter has emerged with footage revealing the cover-up and an unimaginable killer: a mysterious parasitic outbreak. Told from the perspective of those who were there and saw what happened, The Bay unfolds over 24 hours through people's iPhones, Androids, 911 calls, webcams, and whatever else could be used to document the nightmare in Claridge. What follows is a nerve-shredding tale of a small town plunged into absolute terror.",6.770051,2012-09-13,84.0,Released,Panic feeds on fear.,The Bay,30668,"Horror, Science Fiction, Thriller","parasite, found footage","Kristen Connolly, Will Rogers, Michael Beasley",Barry Levinson,"Automatik Entertainment, Hydraulx, Baltimore Pictures",United States of America,English,
911,16000000.0,tt2942522,ko,뫼비우스,"A wife, overwhelmed with hatred for her husband, inflicts an unspeakable wound on their son, as the family heads towards horrific destruction.",4.333617,2013-09-05,89.0,Released,HELL HATH NO FURY LIKE A WOMAN SCORNED,Moebius,2340,Drama,,"Jo Jae-hyeon, Lee Eun-woo, Kim Jae-hong",Kim Ki-duk,Kim Ki-Duk Film,South Korea,한국어/조선말,
912,3500000.0,tt4643432,fr,Dans les forêts de Sibérie,"Fed up with the hectic, senseless world he lives in, Teddy decides to settle down alone in Siberia, in the midst of winter, in a hut by the shore of Lake Baikal. After an initial period of elation in front of the splendor and magic of unspoiled nature, Teddy soon finds himself confronted with the less glossy side of things : solitude, extreme cold, the necessity to find food, danger... One night Teddy gets lost in a blizzard and would be doomed to a certain death, were it not for Aleksei, a Russian convict living hidden away in the forest nearby, who rescues him in extremis. Friendship soon blossoms between the two men...",1.333969,2016-06-15,105.0,Released,,In the Forests of Siberia,1492523,"Drama, Adventure","nature, solitude, human nature","Rapha√´l Personnaz, Evgeniy Sidikhin",Safy Nebbou,Nord-Ouest Films,France,"English, Français, Pусский",
913,25000000.0,tt2016940,en,Man of Tai Chi,"In Beijing, a young martial artist's skill places him in position to experience opportunities and sacrifices.",11.829231,2013-07-04,105.0,Released,No Rules. No Mercy. Pure Fighting.,Man of Tai Chi,2054941,"Action, Drama","china, martial arts, tai chi, extortion, illegal matches","Keanu Reeves, Tiger Hu Chen, Jeremy Marinas",Keanu Reeves,"Universal Pictures, Village Roadshow Pictures, China Film Group Corporation (CFGC), Company Films, Dalian Wanda Group","China, Hong Kong, United States of America","广州话 / 廣州話, English, 普通话",
914,50000000.0,tt0118548,en,Absolute Power,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,7.66124,1997-02-14,121.0,Released,Corrupts Absolutely.,Absolute Power,50068310,"Crime, Drama, Thriller","corruption, assassination, washington d.c., rape, white house, usa president, daughter, government, suspense, secret service, secret service agent","Clint Eastwood, Gene Hackman, Ed Harris",Clint Eastwood,"Columbia Pictures, Castle Rock Entertainment, Malpaso Productions",United States of America,"English, Español",
915,9000000.0,tt4190530,en,Anthropoid,"In December 1941, Czech soldiers Jozef Gabƒç√≠k and Jan Kubi≈° parachute into their occupied homeland to assassinate Nazi officer Reinhard Heydrich.",8.475983,2016-08-12,120.0,Released,Resistance has a code name,Anthropoid,4600000,"History, Thriller, War","germany, assassination, world war ii, nazis, prague, biography, female protagonist, third reich, operation anthropoid","Jamie Dornan, Cillian Murphy, Charlotte Le Bon",Sean Ellis,"LD Entertainment, 22h22, Lucky Man Films","Czech Republic, France, United Kingdom","Český, Deutsch, English",
916,16000000.0,tt1979319,ja,るろうに剣心,"Former legendary assassin Kenshin Himura has now become a wandering samurai. Offering aid &amp; protecting those in need as atonement for his past deeds. During this time Kenshin Himura comes across and aides Kaoru Kamiya (Emi Takei). Her father opened the Kamiya Kasshin-ryu, a kendo school located in Tokyo and Kaoru is now an instructor there. Kaoru then invites Kenshin to stay at her dojo. Their relationship develops further, but Kenshin is still haunted by his violent past ...",7.916658,2012-08-25,134.0,Released,The Journey Begins,Rurouni Kenshin,61700000,"Action, Drama, History","samurai, japanese culture, based on manga, meiji period","Takeru Satoh, Emi Takei, K√¥ji Kikkawa",Keishi Ohtomo,"Warner Bros., Studio Swan, RoC Works Co.",Japan,日本語,Rurouni Kenshin Live-Action Collection
917,6500000.0,tt0139239,en,Go,"Told from three perspectives, a story of a bunch of young Californians trying to get some cash, do and deal some drugs, score money and sex in Las Vegas, and generally experience the rush of life.",8.344282,1999-04-09,98.0,Released,A weekend wasted is never a wasted weekend.,Go,28451622,"Crime, Comedy, Thriller","ecstasy, drug dealing, drug, reference to family circus, high, bisexual man, multiple storylines","Sarah Polley, Katie Holmes, Jay Mohr",Doug Liman,Columbia Pictures,United States of America,English,
918,16000000.0,tt0109361,en,Cabin Boy,"A foul-mouthed finishing school graduate mistakenly winds up on an ill-fated fishing boat, and faces the wrath of a crew that considers him bad luck.",1.679042,1994-01-07,80.0,Released,"He's Setting Sail On The High Seas... Without A Rudder, A Compass, Or A Clue!",Cabin Boy,3662459,Comedy,,"Chris Elliott, Ritch Brinkley, James Gammon",Adam Resnick,Touchstone Pictures,United States of America,English,
919,940000.0,tt4271820,ta,ஓ காதல் கண்மணி,Adhi and Tara are in a live-in relationship and but they are both unwilling to get married. How do they realize that marriage is just a natural progression of their relationship?,0.739665,2015-04-17,138.0,Released,,O Kadhal Kanmani,5100000,"Drama, Family, Romance","living together, love, open relationship, sexual relationship, sentiments","Dulquer Salmaan, Nithya Menen, Prakash Raj",Mani Ratnam,"Madras Talkies, Studio Green",India,"தமிழ், తెలుగు",
920,16000000.0,tt0093648,en,North Shore,"On a small stretch of coastline as powerful as a man's will, Rick Kane came to surf the big waves. He found a woman who would show him how to survive, and a challenge unlike any other.",1.047417,1987-08-14,96.0,Released,,North Shore,3832228,"Action, Drama, Romance",surfing,"Matt Adler, Gregory Harrison, Nia Peeples",William Phelps,,United States of America,English,
921,16000000.0,tt0093176,en,Hello Mary Lou: Prom Night II,"When Hamilton High's Prom Queen of 1957, Mary Lou Maloney is killed by her jilted boyfriend, she comes back for revenge 30 years later. Bill Nordham is now the principle of Hamilton High and his son is about to attend the prom with Vicki Carpenter. However, she is possessed by Mary Lou Maloney after opening a trunk in the school's basement. Now Bill must face the horror he left behind in 1957.",5.383766,1987-11-13,97.0,Released,You Can't Keep a Bad Girl Down,Hello Mary Lou: Prom Night II,2683519,Horror,"cemetery, infidelity, shower, nudity, exorcism, night, high school, shooting, possession, revenge, murder, locker room, priest, prom, blood, unfaithfulness, camp, slasher, teenager, splatter, female homosexuality, high school friends, sexual repression, locker, incest, ghost, school principal, prom queen, flashback, supernatural power, canuxploitation","Michael Ironside, Wendy Lyon, Louis Ferreira",Bruce Pittman,"Simcom Limited, Allarcom Limited, British Columbia Television, CFCN Communications, TBA Film",Canada,English,Prom Night Collection
922,5000000.0,tt0097474,en,Halloween 5: The Revenge of Michael Myers,"Presumed dead after a shoot-out with the Haddonfield police, Michael Myers is secretly nursed back to health -- and returns a year later to kill again and once more targets his young niece, Jamie. Jamie is now recovering in the local children's hospital after attacking her stepmother and losing her voice. Her mental link with her evil uncle may be the key to uprooting her family tree.",6.585405,1989-10-12,96.0,Released,"Michael Lives, And This Time They're Ready!",Halloween 5: The Revenge of Michael Myers,11642254,"Horror, Thriller","sheriff, barn, black, sequel, boogeyman, masked killer, slasher, youth, psychiatrist, killer, kitten, scythe, heroine, pitchfork, psychotronic, michael myers","Donald Pleasence, Danielle Harris, Ellie Cornell",Dominique Othenin-Girard,Trans Pacific Films,United States of America,English,Halloween Collection
923,16000000.0,tt0113198,en,A Goofy Movie,"Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne.",10.177977,1995-04-07,78.0,Released,It's the story of a father who couldn't be closer...to driving his son crazy.,A Goofy Movie,35348597,"Romance, Animation, Family, Comedy, Adventure","father son relationship, pop singer, musical, celebrity, road trip, dead mother, first love, goofy","Bill Farmer, Jason Marsden, Rob Paulsen","Kevin Lima, Paul Brizzi",Walt Disney Pictures,United States of America,English,A Goofy Movie Collection
924,7000000.0,tt0102116,en,The Indian Runner,"An intensely sad film about two brothers who cannot overcome their opposite perceptions of life. One brother sees and feels bad in everyone and everything, subsequently he is violent, antisocial and unable to appreciate or enjoy the good things which his brother desperately tries to point out to him.",7.218957,1991-05-19,127.0,Released,,The Indian Runner,191125,Drama,brother brother relationship,"David Morse, Viggo Mortensen, Valeria Golino",Sean Penn,"Metro-Goldwyn-Mayer (MGM), NHK, Mico, Mount Film Group","Japan, United States of America",English,
925,16000000.0,tt2604346,es,¿Quién mató a Bambi?,"It tells the story of two young friends who must find a way for the president of the company in which they work (and father of one of them) safe return home, and that is enclosed strange circumstances naked in the trunk of his car.",1.926826,2013-11-15,0.0,Released,,¿Quién mató a Bambi?,850259,Comedy,"kidnapping, remake, dark comedy, relationship, crime, seville","Quim Gutiérrez, Juli√°n Villagr√°n, Clara Lago",Santi Amodeo,"Televisión Española (TVE), AXN, Televisió de Catalunya (TV3), Canal+ España, Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Instituto de Crédito Oficial (ICO), Rodar y Rodar Cine y Televisión, Institut Català de les Empreses Culturals (ICEC)",Spain,Español,
926,5000000.0,tt1609479,en,Better Living Through Chemistry,"A straight-laced pharmacist's uneventful life spirals out of control when he starts an affair with a trophy wife customer who takes him on a joyride involving sex, drugs and possibly murder.",7.392294,2014-03-14,91.0,Released,Happiness has no formula.,Better Living Through Chemistry,75143,"Drama, Comedy","pharmacist, dark comedy, trophy wife","Olivia Wilde, Michelle Monaghan, Sam Rockwell","Geoff Moore, David Posamentier","Aegis Film Fund, Altus Productions, Ealing Metro International, Occupant Entertainment","United Kingdom, United States of America",English,
927,40000000.0,tt0134273,en,8MM,"A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.",7.473718,1999-02-26,123.0,Released,You can't prepare for where the truth will take you.,8MM,96618699,"Thriller, Crime, Mystery","pornography, porn actor, loss of daughter, child pornography, private investigator, subculture, private detective","Nicolas Cage, Joaquin Phoenix, James Gandolfini",Joel Schumacher,"Columbia Pictures Corporation, Hofflund/Polone, Global Entertainment Productions GmbH & Company Medien KG",United States of America,English,8MM Collection
928,195000000.0,tt1351685,en,Jack the Giant Slayer,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend‚Äìand gets the chance to become a legend himself.",11.606061,2013-02-27,114.0,Released,Prepare for a giant adventure,Jack the Giant Slayer,197687603,"Action, Family, Fantasy","based on fairy tale, giant","Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor",Bryan Singer,"New Line Cinema, Original Film, Legendary Pictures, Warner Bros., Big Kid Pictures, Bad Hat Harry Productions",United States of America,English,
929,16000000.0,tt2193418,en,Hammer of the Gods,"Action epic sees a passionate young man transform into a brutal warrior as he travels the unforgiving landscape in search of his long lost brother Hakan The Ferrocious, whose people are relying on him to restore order to their kingdom.",5.093586,2013-07-05,99.0,Released,Blood will Reign,Hammer of the Gods,641,"History, Action, Adventure",viking,"Charlie Bewley, Clive Standen, James Cosmo",Farren Blackburn,Vertigo Films,United Kingdom,English,
930,5000000.0,tt0081633,en,Time Bandits,"Young history buff Kevin can scarcely believe it when six dwarfs emerge from his closet one night. Former employees of the Supreme Being, they've purloined a map charting all of the holes in the fabric of time and are using it to steal treasures from different historical eras. Taking Kevin with them, they variously drop in on Napoleon, Robin Hood and King Agamemnon before the Supreme Being catches up with them.",9.841623,1981-07-13,116.0,Released,All the dreams you've ever had and not just the good ones.,Time Bandits,42365581,"Family, Fantasy, Science Fiction, Adventure, Comedy","treasure, map, magic, time travel, titanic, cage, steampunk, minotaur, independent film, good vs evil, tank, burglary","Sean Connery, John Cleese, Shelley Duvall",Terry Gilliam,Handmade Films Ltd.,United Kingdom,English,
931,28000000.0,tt0313911,en,Agent Cody Banks,"Recruited by the U.S. government to be a special agent, nerdy teenager Cody Banks must get closer to cute classmate Natalie in order to learn about an evil plan hatched by her father. But despite the agent persona, Cody struggles with teen angst.",10.445141,2003-03-14,102.0,Released,Save the world. Get the girl. Pass math.,Agent Cody Banks,58795814,Action,"spy, cia, killer robot, delinquent, teen spy","Frankie Muniz, Hilary Duff, Angie Harmon",Harald Zwart,"Splendid Pictures, Maverick Films, Metro-Goldwyn-Mayer (MGM), Dylan Sellers Productions, Madacy Entertainment","Canada, United States of America",English,Agent Cody Banks Collection
